name,category,muscleGroup,difficulty,description,sets,reps,restSeconds,imageUrl
Press de banca,chest,Pectoral mayor,intermediate,"Ejercicio base para el pecho. Tumbado en el banco, bajamos la barra hasta el pecho y empujamos.",4,8,90,
Press inclinado con mancuernas,chest,Pectoral mayor,intermediate,Banco a 30-45 grados. Subimos las mancuernas controlando el movimiento.,3,10,75,
Aperturas con mancuernas,chest,Pectoral mayor,beginner,"Tumbado, abrimos los brazos lateralmente manteniendo un ligero codo doblado.",3,12,60,
Fondos en paralelas,chest,Pectoral menor,intermediate,"En las paralelas, bajamos el cuerpo inclinando el torso hacia delante.",3,10,75,
Press con mancuernas plano,chest,Pectoral mayor,beginner,"Igual que el press de banca pero con mancuernas, más rango de movimiento.",4,10,75,
Crossover en polea,chest,Pectoral mayor,beginner,"De pie entre las poleas, juntamos las manos frente al pecho.",3,15,60,
Press declinado,chest,Pectoral inferior,intermediate,Banco en declive. Trabajamos la parte baja del pectoral.,3,8,90,
Push-up,chest,Pectoral mayor,beginner,"La clásica flexión. Cuerpo recto, bajamos hasta casi tocar el suelo.",4,15,60,
Press con barra inclinado,chest,Pectoral superior,advanced,Banco inclinado con barra. Muy efectivo para la parte alta del pecho.,4,6,120,
Aperturas en polea baja,chest,Pectoral superior,intermediate,"Desde abajo, llevamos las manos hacia arriba dibujando un arco.",3,12,60,
Dominadas,back,Dorsal ancho,advanced,"Colgados de la barra, subimos hasta que la barbilla supere la barra.",4,8,90,
Remo con barra,back,Dorsal ancho,intermediate,"Inclinados hacia delante, tiramos de la barra hacia el abdomen.",4,8,90,
Jalón al pecho,back,Dorsal ancho,beginner,"En la polea alta, tiramos de la barra hacia el pecho.",3,12,75,
Remo con mancuerna,back,Dorsal ancho,beginner,"Apoyados en el banco, tiramos de la mancuerna hacia la cadera.",3,10,60,
Pull-over con mancuerna,back,Dorsal ancho,intermediate,"Tumbado en el banco, llevamos la mancuerna por encima de la cabeza.",3,12,60,
Remo en polea baja,back,Romboides,beginner,"Sentados, tiramos del agarre hacia el abdomen.",3,12,75,
Face pull,back,Trapecio,beginner,"Con la polea alta, tiramos hacia la cara separando los codos.",3,15,60,
Hiperextensiones,back,Lumbar,beginner,"En el banco de hiperextensiones, subimos el torso desde la posición baja.",3,15,60,
Peso muerto,back,Lumbar,advanced,El rey de los ejercicios de espalda. Levantamos la barra desde el suelo.,4,5,120,
Remo en máquina,back,Dorsal ancho,beginner,"En la máquina de remo, tiramos de las agarraderas hacia el cuerpo.",3,12,60,
Sentadilla con barra,legs,Cuádriceps,advanced,"Con la barra en los trapecios, bajamos como si fuésemos a sentarnos.",4,6,120,
Prensa de piernas,legs,Cuádriceps,beginner,"En la máquina, empujamos la plataforma con los pies.",4,10,90,
Extensión de cuádriceps,legs,Cuádriceps,beginner,"En la máquina, extendemos las rodillas contra la resistencia.",3,15,60,
Curl femoral tumbado,legs,Isquiosurales,beginner,"Tumbados boca abajo, flexionamos las rodillas contra la resistencia.",3,12,60,
Peso muerto rumano,legs,Isquiosurales,intermediate,"Con las rodillas ligeramente dobladas, bajamos la barra por las piernas.",4,8,90,
Zancadas,legs,Cuádriceps,beginner,"De pie, damos un paso adelante y bajamos la rodilla trasera.",3,12,75,
Hip thrust,legs,Glúteo mayor,intermediate,"Apoyados en el banco, empujamos las caderas hacia arriba.",4,10,75,
Sentadilla búlgara,legs,Cuádriceps,advanced,"Pie trasero en el banco, bajamos flexionando la rodilla delantera.",3,10,90,
Abductor en máquina,legs,Abductores,beginner,"Sentados, abrimos las piernas contra la resistencia.",3,15,60,
Gemelos de pie,legs,Gemelos,beginner,"De pie, subimos sobre las puntas de los pies.",4,20,45,
Press militar,shoulders,Deltoides anterior,intermediate,"De pie o sentado, empujamos la barra desde los hombros hacia arriba.",4,8,90,
Elevaciones laterales,shoulders,Deltoides lateral,beginner,"De pie, levantamos las mancuernas lateralmente hasta la altura del hombro.",3,15,60,
Press Arnold,shoulders,Deltoides completo,intermediate,Igual que el press con mancuernas pero rotando las muñecas.,3,10,75,
Pájaro o elevaciones posteriores,shoulders,Deltoides posterior,beginner,"Inclinados, levantamos las mancuernas lateralmente.",3,15,60,
Elevaciones frontales,shoulders,Deltoides anterior,beginner,Levantamos las mancuernas al frente hasta la altura del hombro.,3,12,60,
Press con mancuernas sentado,shoulders,Deltoides anterior,beginner,"Sentados, empujamos las mancuernas hacia arriba.",4,10,75,
Encogimientos de hombros,shoulders,Trapecio,beginner,"De pie, subimos los hombros hacia las orejas.",3,15,60,
Arnold press unilateral,shoulders,Deltoides completo,intermediate,Igual que el Arnold press pero con un brazo a la vez.,3,10,75,
Curl con barra,arms,Bíceps,beginner,"De pie, flexionamos los codos levantando la barra.",3,12,60,
Curl con mancuernas alterno,arms,Bíceps,beginner,Alternamos el curl con cada brazo.,3,12,60,
Curl martillo,arms,Bíceps braquial,beginner,Igual que el curl pero con las palmas mirándose entre sí.,3,12,60,
Curl en polea baja,arms,Bíceps,beginner,"De pie frente a la polea, flexionamos el codo.",3,15,60,
Press francés,arms,Tríceps,intermediate,"Tumbados, bajamos la barra hacia la frente y extendemos.",3,10,75,
Extensión de tríceps en polea,arms,Tríceps,beginner,"De pie frente a la polea alta, extendemos los codos hacia abajo.",3,15,60,
Fondos en banco,arms,Tríceps,beginner,"Manos en el banco, bajamos y subimos con los brazos.",3,15,60,
Curl concentrado,arms,Bíceps,beginner,"Sentados, apoyamos el codo en el muslo y hacemos el curl.",3,12,60,
Patada de tríceps,arms,Tríceps,beginner,"Inclinados, extendemos el codo hacia atrás.",3,12,60,
Curl en banco Scott,arms,Bíceps,intermediate,"En el banco Scott, aislamos completamente el bíceps.",3,10,75,
Crunch abdominal,core,Recto abdominal,beginner,"Tumbados, subimos el torso ligeramente contrayendo el abdomen.",3,20,45,
Plancha,core,Core completo,beginner,"En posición de flexión apoyados en antebrazos, mantenemos la posición.",3,60,60,
Plancha lateral,core,Oblicuos,intermediate,"Apoyados en un antebrazo, mantenemos el cuerpo alineado lateralmente.",3,45,60,
Russian twist,core,Oblicuos,intermediate,"Sentados con los pies en el aire, rotamos el torso de lado a lado.",3,20,45,
Elevación de piernas tumbado,core,Recto abdominal inferior,intermediate,"Tumbados, subimos las piernas rectas hasta 90 grados.",3,15,60,
Rueda abdominal,core,Core completo,advanced,"Con la rueda, extendemos los brazos hacia delante manteniendo el core.",3,10,90,
Mountain climbers,core,Core completo,beginner,"En posición de plancha, alternamos llevando las rodillas al pecho.",3,30,45,
Crunch en polea,core,Recto abdominal,beginner,"De rodillas frente a la polea alta, flexionamos el torso hacia abajo.",3,20,45,
Superman,core,Lumbar,beginner,"Tumbados boca abajo, levantamos brazos y piernas simultáneamente.",3,15,45,
Hollow body,core,Core completo,advanced,"Tumbados, mantenemos la posición con brazos y piernas extendidos.",3,30,60,
Carrera en cinta,cardio,Sistema cardiovascular,beginner,Corremos a ritmo moderado durante el tiempo indicado.,1,20,0,
